#,College Name,Course(s) Offered,District,Full Address,Contact,Website,State
1,National Institute of Technology Kurukshetra,"B.Tech (Civil, Mechanical, Electrical, Electronics & Communication, Computer Science, Information Technology, Production, Bio-Technology)",Kurukshetra,"Thanesar, Kurukshetra, Haryana 136119",01744-233208 | registrar@nitkkr.ac.in,https://www.nitkkr.ac.in/,Haryana
2,"J.C. Bose University of Science and Technology, YMCA, Faridabad","B.Tech (Computer Science, Information Technology, Electronics & Communication, Mechanical, Civil, Electrical) + MBA",Faridabad,"Sector-6, Mathura Road, Faridabad, Haryana 121006",0129-2310126 | registrar@ymcaust.ac.in,https://www.ymcaust.ac.in/,Haryana
3,Deenbandhu Chhotu Ram University of Science and Technology,"B.Tech (Biomedical, Civil, Computer Science, Electrical, Electronics & Communication, Mechanical) + MBA",Sonepat,"50th KM Stone, NH-1, Murthal, Sonepat, Haryana 131039",0130-2484005 | registrar@dcrust.ac.in,https://www.dcrust.ac.in/,Haryana
4,Guru Jambheshwar University of Science and Technology,"B.Tech (Computer Science, Information Technology, Electronics & Communication, Mechanical, Printing Technology, Bio & Nano Technology) + MBA",Hisar,"Hisar, Haryana 125001",01662-263104 | registrar@gjust.ac.in,https://www.gjust.ac.in/,Haryana
5,Chaudhary Devi Lal University,B.Tech (Computer Science) + MBA,Sirsa,"Barnala Road, Sirsa, Haryana 125055",01666-239817 | registrar@cdlu.ac.in,https://cdlu.ac.in/,Haryana
6,Maharshi Dayanand University,"B.Tech (Computer Science, Electronics & Communication, Mechanical, Civil, Biotechnology) + MBA",Rohtak,"Rohtak, Haryana 124001",01262-393327 | registrar@mdurohtak.ac.in,https://www.mdurohtak.ac.in/,Haryana
7,Kurukshetra University,"B.Tech (Computer Science, Electronics & Communication, Mechanical, Civil, Biotechnology) + MBA",Kurukshetra,"Kurukshetra, Haryana 136119",01744-238518 | registrar@kuk.ac.in,https://www.kuk.ac.in/,Haryana
8,Manav Rachna International Institute of Research and Studies,"B.Tech (Computer Science, Mechanical, Civil, Electronics & Communication, Biotechnology) + MBA",Faridabad,"Sector-43, Delhi-Surajkund Road, Faridabad, Haryana 121004",0129-4268500 | admissions@manavrachna.edu.in,https://manavrachna.edu.in/,Haryana
9,Amity University Gurugram,"B.Tech (Computer Science, Mechanical, Civil, Electronics & Communication, Biotechnology) + MBA",Gurugram,"Gurugram, Haryana 122413",0124-2337015 | admissions@ggn.amity.edu,https://www.amity.edu/gurgaon/,Haryana
10,K.R. Mangalam University,"B.Tech (Computer Science, Mechanical, Civil, Electronics & Communication) + MBA",Gurugram,"Sohna Road, Gurugram, Haryana 122103",011-48884888 | admissions@krmangalam.edu.in,https://www.krmangalam.edu.in/,Haryana
11,BML Munjal University,"B.Tech (Computer Science, Mechanical, Civil, Electronics & Communication) + MBA",Gurugram,"67th KM Stone, NH-8, Sidhrawali, Gurugram, Haryana 122413",0124-2676699 | admissions@bmu.edu.in,https://www.bmu.edu.in/,Haryana
12,GD Goenka University,"B.Tech (Computer Science, Mechanical, Civil, Electronics & Communication) + MBA",Gurugram,"Sohna Gurgaon Road, Gurugram, Haryana 122103",0124-3315900 | admissions@gdgoenkauniversity.com,https://www.gdgoenkauniversity.com/,Haryana
13,SRM University Delhi-NCR Sonepat,"B.Tech (Computer Science, Mechanical, Civil, Electronics & Communication) + MBA",Sonepat,"Plot No. 39, Rajiv Gandhi Education City, Sonepat, Haryana 131029",0130-2203500 | admissions@srmuniversity.ac.in,https://srmuniversity.ac.in/,Haryana
14,O.P. Jindal Global University,B.Tech (Computer Science) + MBA,Sonipat,"Sonipat Narela Road, Sonipat, Haryana 131001",0130-4091888 | admissions@jgu.edu.in,https://jgu.edu.in/,Haryana
15,Apeejay Stya University,"B.Tech (Computer Science, Biotechnology) + MBA",Gurugram,"Sohna-Palwal Road, Gurugram, Haryana 122103",1800-103-3455 | admissions@asu.apeejay.edu,https://www.asu.apeejay.edu/,Haryana
16,Shree Guru Gobind Singh Tricentenary University,"B.Tech (Computer Science, Mechanical, Civil, Electronics & Communication) + MBA",Gurugram,"Chandu-Budhera, Gurugram, Haryana 122050",0124-2278257 | admissions@sggsdu.ac.in,https://www.sggsdu.ac.in/,Haryana
